Customer ID,Age,Gender,Annual Income,Spending Score,Age Group,Cluster
eb0e4ebc-fcc1-424f-b083-81987583ecc6,25,Male,88,17,young,-1
b43f995c-c9ab-4c58-8f71-949de233ac71,19,Male,199,82,young,-1
05948202-e483-482a-9c02-6a655498002b,21,Male,200,49,young,-1
dd6223b5-5aae-468b-b936-618b513d4e70,24,Male,109,6,young,-1
d29643f1-551e-4353-a560-cf4e6797e003,24,Male,120,80,young,-1
d240e1a0-b50c-4bbe-8387-3c6082d42f20,23,Male,169,31,young,-1
d41eea9a-569d-42fb-94b1-d4551204c936,21,Male,172,80,young,-1
2bcc1223-2182-4117-ba07-1e3aa9d9b4bd,22,Male,158,83,young,-1
052a6b92-7855-45d9-8903-5c9d69d6903b,27,Male,39,29,young,-1
7eab5cb6-b411-4003-9993-06061f62b7b0,27,Male,56,100,young,-1
01dd3ddf-f994-4b83-81a5-67fff8ea7c0f,23,Male,142,37,young,-1
cd405d75-c622-4f85-9a9b-bd631b7dd235,21,Male,130,7,young,-1
c5dc7337-a6c4-45b4-a2a4-b60912d8be20,24,Male,199,65,young,-1
0c122e0f-5de1-4aa0-aeb5-79d285a9a73e,21,Male,145,36,young,-1
767a2cad-d10b-4666-ac94-115312952d3e,21,Male,64,88,young,-1
e7c07127-d469-41d8-9637-bb1feb142b29,19,Male,144,36,young,-1
aeff892e-3d2c-4111-b4a2-c90770558d75,18,Male,154,30,young,-1
61a0bb1c-5d17-4dea-b9c0-0840b6994904,20,Male,57,4,young,-1
3b12d2fa-127b-41ef-8558-30392ecea17f,23,Male,188,53,young,-1
4cc12057-c7ce-416c-afb4-bffbe37427d1,28,Male,80,38,young,-1
f28be95d-856a-4307-a139-dafe8d6c3162,19,Male,59,23,young,-1
e98e29ca-d9ec-4268-8410-e15c38e93ede,25,Male,113,1,young,-1
45ed2b80-1787-4780-8ad6-057658abfac2,20,Male,149,1,young,-1
02366cad-6f82-40aa-bbf3-6dba096ca2e5,27,Male,122,24,young,-1
544be311-fb2f-4ef5-84c4-e50c014d2268,28,Male,123,98,young,-1
8973d450-ab41-447e-9dcf-bac97889d06f,21,Male,125,19,young,-1
b248a68b-2ddf-45ba-892f-5a5299b5b4f2,25,Male,121,50,young,-1
69e2507d-25db-4d5a-98e4-1ce9376f03e1,21,Male,29,23,young,-1
a14b4852-eebf-4920-8b24-d8aff2bac3ca,21,Male,62,81,young,-1
add1dcb4-5ad0-46ad-be92-b7dc832eed7a,23,Male,24,89,young,-1
f43e3443-d7af-40f4-a10d-eda97aa32134,28,Male,121,76,young,-1
baac694d-6140-4cfe-a286-fc2c8576fd60,22,Male,28,21,young,-1
6e2b959a-5966-4bc0-9751-485cee88e2b9,28,Male,164,96,young,-1
861e3cf8-50d7-49e2-9887-3d29a2bbf5fc,29,Male,120,1,young,-1
a523c141-7d32-438d-ac4e-1d79b00c2853,27,Male,160,44,young,-1
f0fc69d0-ce6d-4dcb-b027-1b21dae7ce2f,26,Male,196,6,young,-1
599816e6-3a1b-4a5a-a22b-b5c8405e5064,26,Male,169,77,young,-1
c87b599a-d057-479a-9b85-3353071f3640,27,Male,156,3,young,-1
6bd7ef8f-fab0-4964-9419-7e1bdd918cba,24,Male,98,40,young,-1
e21b806d-e0ba-43be-90b7-cca1da66b305,29,Male,44,1,young,-1
dccdf258-e300-4ed7-8d97-700efba80b4e,18,Male,113,21,young,-1
6585097b-b707-4701-8784-e3e73706f652,22,Male,20,34,young,-1
12d5de9d-e2dd-49d5-9901-5fc95ac4227a,27,Male,137,51,young,-1
c67b9659-905a-49dc-bbb2-873fba5bad08,18,Male,118,20,young,-1
d75b7b83-3434-40ed-b333-94fda100ff5a,27,Male,112,11,young,-1
d5f5fa20-7888-4c1c-8411-bae8508dc1af,25,Male,110,4,young,-1
da35ac9a-7e78-4ac4-b28c-4076a4e1cf73,26,Male,95,40,young,-1
ee179277-2ff1-45d8-81d0-629c8f48c5d4,20,Male,61,99,young,-1
7cba37a2-4601-4405-a15c-120a116c2816,22,Male,156,37,young,-1
78bcfacd-ac34-4e7b-a796-2d1a01139fc4,19,Male,139,44,young,-1
53c0da22-86ed-4cbb-9840-2863930820f1,28,Male,106,88,young,-1
3551e4a1-8f89-400d-801f-958503ebbb6c,21,Male,30,34,young,-1
a41e2b18-8f9d-4781-8d20-abff7a73ebe5,29,Male,145,43,young,-1
2ce7c1e9-381b-4026-aa4f-31314bf41da6,22,Male,94,38,young,-1
38fb278d-3a70-4ee0-af16-463631d5fec2,27,Male,109,14,young,-1
6154eeea-b15a-445f-96ee-95208f4338ef,19,Male,128,78,young,-1
2f86a36b-b7b2-47bc-943f-75d51b0dc945,29,Male,128,24,young,-1
7da69ca3-44f3-4549-b72d-fb34c7b31eef,28,Male,196,2,young,-1
a959cec5-ad83-41c8-b8b9-681551b8ad8f,20,Male,24,42,young,-1
0ebd3ecc-4491-4471-aa15-a6a0eb28a937,18,Male,187,55,young,-1
a31b4e99-24d7-438a-ae07-6151e8cdb8ad,22,Male,28,27,young,-1
a651cbe3-1c64-4401-b372-0af2e7ce4e39,24,Male,81,35,young,-1
b5075017-45f7-436b-8c46-a9f1281d1c7b,22,Male,132,6,young,-1
552d7996-3e32-4afb-bd9e-0fdf9896ccdc,20,Male,137,78,young,-1
0a611bf8-ac56-4d0d-b699-c4e60d6c49ef,20,Male,121,76,young,-1
139b3ead-62a0-4e97-9174-24a8a42fb197,25,Male,142,2,young,-1
78d98336-1476-4472-ae0a-e17cb6c192a4,18,Male,198,26,young,-1
ec534586-3f48-49d8-93e4-3d932c0d0142,27,Male,92,38,young,-1
2ae2eb39-dca0-42bc-8346-3036c65e7c48,22,Male,140,35,young,-1
cf18f8a7-879e-4cd1-b535-08c2990ba13c,19,Male,188,15,young,-1
801b2f5f-9881-475b-bf0a-2cae1e6f89db,21,Male,127,47,young,-1
f75677a9-d92c-4771-aa0f-229e1560549f,19,Male,90,18,young,-1
5b67c224-dce1-4725-9d1d-93698c9003bc,25,Male,118,66,young,-1
2c6578ca-c505-4143-a9ae-697721623f1c,25,Male,21,2,young,-1
4846ac44-222f-4143-a0f7-555764a61fcd,29,Male,58,100,young,-1
8797aa7c-fce3-4a0e-af66-8b05dd052f35,25,Male,24,19,young,-1
16da6712-7f40-4b80-a661-1e026e481858,27,Male,148,48,young,-1
6ae8f024-76f4-4655-a772-3e84104f6d0b,21,Male,28,42,young,-1
3d7a4fcd-5176-46e0-a7ca-c489887e1e73,28,Male,127,21,young,-1
8db183d6-024a-4ee2-bdcb-839b2132ca58,26,Male,24,12,young,-1
92347507-9fc9-4e9c-9275-53f4e34cf502,24,Male,127,82,young,-1
9011d5f8-4bdd-433f-b6c5-09335fdced79,26,Male,72,32,young,-1
fa460b2f-5c9a-425d-a33e-4d2731c6e095,21,Male,134,75,young,-1
83ed536d-c44b-4a0d-8973-636edb723ead,19,Male,107,7,young,-1
838e6a81-c986-4348-99a4-5351e755abef,27,Male,199,48,young,-1
38c153f5-7c26-4708-a794-1d0d321b8ae8,28,Male,90,19,young,-1
700e20da-17fb-44d1-8aa1-546929c017d4,23,Male,102,40,young,-1
23f0d88c-d7e3-4265-8789-682b260acaab,19,Male,110,64,young,-1
6305eee9-f9bb-4fa5-8100-73d6b9a36af4,25,Male,33,30,young,-1
911a0096-38f4-448a-a02d-591c09cd8e54,28,Male,113,78,young,-1
2d3872f4-9291-4fd8-9991-fd48aa888ca9,28,Male,21,45,young,-1
e42391c6-ba60-45de-9804-37d61802715d,18,Male,33,4,young,-1
6a52a6ec-9596-4ecd-9347-37f6520fee08,19,Male,183,29,young,-1
154d6532-8a03-447b-bdf8-5763c91260ec,21,Male,89,17,young,-1
3dd30764-97d6-4f96-8c15-3fda08f15ccc,24,Male,188,52,young,-1
39485910-47b5-4311-98ce-9b960c7911ea,21,Male,64,78,young,-1
38942878-8d52-4d62-a05d-9382d9b7bd55,24,Male,20,60,young,-1
87b1e6c4-4934-406f-a7b7-1f96af66adcd,18,Male,63,68,young,-1
b7b0b738-c69d-40bb-8a1a-16388775db71,24,Male,78,37,young,-1
1de3d21f-95bc-439e-8331-eba3a52a1be2,19,Male,50,4,young,-1
f32fa206-86fa-4d4b-bd62-acbafa3f7b2a,29,Male,65,22,young,-1
7428e26e-4135-46cc-9a45-6be28833ef06,25,Male,200,25,young,-1
fb9f13ee-bff8-42a5-8b75-da85629c424b,20,Male,116,85,young,-1
e150a58f-4b33-42f4-99ce-6c12c6212b86,26,Male,200,84,young,-1
d956e701-905a-476b-a18b-77026b1560d7,19,Male,38,28,young,-1
274979f7-31ca-42f6-a6f5-5471dee2a6b7,20,Male,169,81,young,-1
baca7714-6a9b-4280-b4f9-5a14a6198979,19,Male,34,37,young,-1
4b6a1f70-8e67-4677-bb9a-976c5304fc48,29,Male,69,56,young,-1
790d893a-6559-4458-a511-44f0f605a067,22,Male,194,9,young,-1
44983f4a-1733-4943-994d-2da2aca314e3,24,Male,128,97,young,-1
99e5032e-d27b-466c-8aac-6f1df0daee87,25,Male,78,72,young,-1
b65135a7-1465-4eb8-a9ea-c4e26a243b14,21,Male,51,5,young,-1
1ca7bf3d-7973-4ca5-a2c2-109c12fcb64a,21,Male,22,52,young,-1
8466af73-a02f-4383-991d-ef9f52799cac,22,Male,199,30,young,-1
0b9a82b0-42ce-464c-a661-4f3850436727,21,Male,115,14,young,-1
13f32015-847e-40d6-9e87-00801cbd7d9a,25,Male,198,3,young,-1
c352b297-78ef-4ed2-afa7-82d04fa29721,27,Male,22,77,young,-1
f5219765-9c25-41ce-bfbf-2683d4338da0,21,Male,47,1,young,-1
41ce09d2-f8d6-432f-96be-ce5900cfcc18,19,Male,28,23,young,-1
e5e4102b-b4be-4863-ba4a-454c958a6ba2,27,Male,62,5,young,-1
83ed2c36-a344-493b-90ad-293920d1e6d7,29,Male,109,63,young,-1
4a95c162-0ca2-45d9-a1bf-975a206e87fa,21,Male,29,28,young,-1
2f07e618-cf48-4d41-99a9-06e0702fa32f,21,Male,119,25,young,-1
864064e0-7493-4c4b-9d75-2c063f0cfad8,23,Male,188,33,young,-1
44411742-9f27-47d8-b28b-0d7cebf34300,29,Male,97,39,young,-1
efba7ab7-2393-43a9-8605-51672077d724,20,Male,104,73,young,-1
69daaa0f-bf30-4fea-8c52-5a0f4391a822,26,Male,25,54,young,-1
e25d0938-d5e6-4913-aa1f-31dcaf652ef7,27,Male,185,16,young,-1
29af35dd-da73-421c-872e-33fe72f66d85,27,Male,125,15,young,-1
8e4e3869-de39-4fea-a112-788f5987706b,26,Male,200,37,young,-1
2e938dbd-af52-4065-88f8-660726756309,22,Male,107,12,young,-1
492905e1-941a-4419-b86e-03e701a68ec3,21,Male,26,60,young,-1
22dd1a94-50dd-48c0-a007-b6e56f4353b9,21,Male,136,1,young,-1
6b98c871-919e-462c-a66a-0c9197cbbf22,23,Male,141,76,young,-1
a66592f8-5343-49f7-b740-b707bdfc3c00,26,Male,190,11,young,-1
b0a85c8f-c27b-49f5-b23f-075fde3e8a12,26,Male,108,90,young,-1
0055fa7a-f74d-4e6f-be70-27449862a5ef,24,Male,125,55,young,-1
eb3480bb-3c70-40be-a804-8940af4934d6,29,Male,194,65,young,-1
1e7ebe51-1bef-4197-9e62-11983ddc15eb,18,Male,67,27,young,-1
63d97680-a515-4dc6-905b-89f535683b1d,22,Male,77,29,young,-1
31dbd18a-a6b5-48e6-95b8-43e9457eeda6,25,Male,104,87,young,-1
ed754a65-605f-4e86-bbd4-c4f7ab96a00c,27,Male,31,29,young,-1
e342d700-c809-478e-99b8-31712b2ef5d6,20,Male,111,72,young,-1
9332a6c4-acef-4fb1-b871-2da1cbdf581c,20,Male,122,50,young,-1
8fab657b-e3fd-45e6-a619-c1d7180b0930,19,Male,25,39,young,-1
af16338e-e314-4175-ac77-562f74014de0,21,Male,27,66,young,-1
6f7a900a-4496-4976-be3f-13a2a622fc57,21,Male,48,99,young,-1
a4d96f4a-2e9b-4784-93ea-911a4c2d1909,18,Male,137,43,young,-1
634b7220-eccd-4b55-aa94-75b4dccc59c7,25,Male,165,14,young,-1
dd8b3218-05b5-458d-8ba5-f6bc0efb9459,27,Male,31,52,young,-1
54af0d5e-3dbd-42f9-a21f-46ecf50b8682,25,Male,123,51,young,-1
351e03cf-5b6b-4f32-86c4-84dd0c3d07e8,26,Male,109,88,young,-1
bc1bc1b6-bceb-4b39-977e-a2e5447e3715,27,Male,110,91,young,-1
f448c5ab-3810-47c2-814e-3dde55a883a2,26,Male,70,30,young,-1
f8f2cf17-ab92-446e-84d3-4e45c553ab7a,25,Male,95,19,young,-1
53270789-8f29-4ee1-8f66-8817b520c33a,21,Male,24,43,young,-1
404336a8-94e6-48d5-bebb-adb76f8497ea,21,Male,120,78,young,-1
1dfcafaf-553e-4ed9-9f2c-a2f1865b87b0,21,Male,93,41,young,-1
f33d44f1-e323-47f1-b64a-927023f1f5c8,29,Male,122,65,young,-1
ebaecfdc-c77c-4dfd-ae5b-4d884e4193ad,20,Male,63,56,young,-1
7a549007-219d-4b4d-b2f7-66091464247d,21,Male,27,89,young,-1
ba75b90f-f270-4194-a48f-999286964558,25,Male,103,20,young,-1
cbdd5669-eaef-469c-80ff-4642c0a57aac,21,Male,192,29,young,-1
6be3fe5b-6c5d-4435-8844-3d8cba9f9488,28,Male,83,19,young,-1
50b0e68c-6c5f-4ab7-8a24-b474e2a5af2c,29,Male,39,34,young,-1
eb065f9c-09b7-4a7e-9ca1-b464f30f312d,18,Male,84,39,young,-1
174f4ce4-4cae-42bd-91a7-221c6e387ee8,25,Male,164,14,young,-1
6c7609c0-d3a8-4611-b770-52bd0660a771,27,Male,26,22,young,-1
0b3ba10d-3727-4a93-9e13-71544feb94ac,27,Male,122,19,young,-1
f0222ece-3863-4c15-b69c-082b2557e852,29,Male,26,22,young,-1
efdf7bf9-ecee-49f3-a83a-54436e2de57a,24,Male,81,69,young,-1
b3517ce2-f4f8-4a90-877a-fe67d88403ac,28,Male,67,81,young,-1
4d864af6-dbd2-4cb3-89a2-38e63c3518aa,29,Male,117,8,young,-1
a07f609f-b29c-41fa-99b3-18ed9755dc0c,19,Male,73,70,young,-1
d28a62f0-8191-4a9a-bbec-5dce67274f56,23,Male,39,3,young,-1
42730369-5b23-4290-95aa-e588699d2e61,22,Male,26,10,young,-1
782c6407-a386-4b7f-8f1d-15de1d489e08,22,Male,21,22,young,-1
93822895-133f-4c7a-8b3f-cdce6006d2f1,23,Male,161,82,young,-1
794e4fd4-e2fd-40cd-92f2-2e89a3dfb0a8,18,Male,34,57,young,-1
da7f598a-3fb0-4ce7-90aa-b9aeac40720e,28,Male,118,11,young,-1
720808de-0a29-4135-bde1-180be4d6207e,18,Male,195,2,young,-1
ffada2e4-336b-4ce6-9001-14503549bb37,25,Male,106,18,young,-1
af5c9464-e446-4018-bfc9-26e453d71e42,26,Male,165,40,young,-1
830a724d-f4c7-4720-967f-2697ca6a5d27,26,Male,136,95,young,-1
100f8252-7052-434f-a05a-06a8720f7ad7,20,Male,84,72,young,-1
18ccbd98-7e43-41f3-a25c-b94445e4236a,20,Male,147,48,young,-1
8bfdc1b9-a811-40b4-9e13-b373b566e56e,23,Male,99,1,young,-1
0c90974b-346c-42a6-854d-f688e9c88ebf,25,Male,137,34,young,-1
cb804aa8-dc4c-4d9e-8594-fe20d4bf5a4c,23,Male,74,77,young,-1
49338990-4ec6-4c06-a962-73930893e712,25,Male,139,96,young,-1
42ee5dc0-ba7e-43da-963a-e5d2ab51bd4d,18,Male,137,10,young,-1
3a1c0a94-9a72-4469-99b7-844d35f31477,26,Male,45,28,young,-1
f7320923-3804-4e82-bf8c-886c316e4c69,21,Male,70,28,young,-1
13680909-d0e2-4b0c-9920-00c2319f4db4,22,Male,79,31,young,-1
be6a73a9-a9f7-426f-a3b7-0dee4fb5caef,23,Male,42,1,young,-1
937af3a0-d6eb-4b92-8231-0a4b8192155c,29,Male,123,28,young,-1
bd8089d0-0e52-40d7-afdf-56aeead962fa,27,Male,31,39,young,-1
04322102-f666-4240-a640-5e767986acc7,22,Male,199,8,young,-1
443ac441-a492-4282-86a9-3a7ec69bf15f,22,Male,159,34,young,-1
6e5d262c-3e4a-4024-9179-2d10312e0fc9,28,Male,30,3,young,-1
5831a12c-c53a-4cdf-b3c3-498b5c069356,19,Male,158,46,young,-1
b61bea7a-8c90-4661-98ab-ba8fdda71df0,27,Male,134,96,young,-1
1fe4a4bd-2b0e-413e-9dda-e334336f5b3c,26,Male,35,30,young,-1
ef7df90c-26d0-41e9-b42e-994ccc4b08d7,29,Male,185,13,young,-1
3106b125-3602-46e8-897a-1a5be3150978,26,Male,39,34,young,-1
0b787942-2c5d-4928-a9c4-88f83f4e2184,28,Male,101,91,young,-1
e147ac57-a524-40dc-b14e-bee579e6ae21,27,Male,156,29,young,-1
