Customer ID,Age,Gender,Annual Income,Spending Score,Age Group,Cluster
b43f995c-c9ab-4c58-8f71-949de233ac71,19,Male,199,82,young,-1
05948202-e483-482a-9c02-6a655498002b,21,Male,200,49,young,-1
d29643f1-551e-4353-a560-cf4e6797e003,24,Male,120,80,young,-1
d240e1a0-b50c-4bbe-8387-3c6082d42f20,23,Male,169,31,young,-1
90b18bf2-2413-4212-8934-e67ffc233192,22,Female,106,74,young,-1
470474a7-c418-46a8-a984-43abeb281407,22,Male,195,76,young,-1
f6eb2491-0ac4-4822-84b7-896349f6ca46,23,Female,107,22,young,-1
b50a462c-c086-4b39-b802-11530bff89d6,26,Female,22,59,young,-1
ee1aab8e-8116-4158-8b20-df700e20fade,19,Female,162,9,young,-1
f330001b-caa9-4233-af3e-4f134f342bbe,29,Female,80,38,young,-1
31ccf237-208e-4c1c-8733-c5cd379cb3db,22,Female,132,14,young,-1
c5dc7337-a6c4-45b4-a2a4-b60912d8be20,24,Male,199,65,young,-1
df8e8372-4d90-40be-8ea5-7fb1f623d785,27,Female,131,99,young,-1
767a2cad-d10b-4666-ac94-115312952d3e,21,Male,64,88,young,-1
b6122d1a-d442-40f1-98aa-21b562650f5f,21,Female,66,71,young,-1
aeff892e-3d2c-4111-b4a2-c90770558d75,18,Male,154,30,young,-1
f1965d4e-b109-46a1-bbbd-54478a0c96b6,18,Female,33,2,young,-1
3fbc0386-d580-4fa6-b2a8-c65d816ff4b0,24,Male,150,24,young,-1
cd7f6ce2-25a1-4327-9687-bec0200efbad,20,Female,57,66,young,-1
61a0bb1c-5d17-4dea-b9c0-0840b6994904,20,Male,57,4,young,-1
3b12d2fa-127b-41ef-8558-30392ecea17f,23,Male,188,53,young,-1
b1b6dac2-db00-47d5-a7db-f6eec4afa490,28,Female,31,4,young,-1
4cc12057-c7ce-416c-afb4-bffbe37427d1,28,Male,80,38,young,-1
f28be95d-856a-4307-a139-dafe8d6c3162,19,Male,59,23,young,-1
e98e29ca-d9ec-4268-8410-e15c38e93ede,25,Male,113,1,young,-1
1a79cb43-792d-4886-9aea-3b480deaabd6,28,Female,127,34,young,-1
1c2e9319-d702-4391-b4fc-11faf9a37967,21,Female,142,59,young,-1
f2913b6c-b7a9-453d-aed9-3b27464b1254,25,Female,200,37,young,-1
61f403aa-ebf5-47dd-91f1-9eea5e3d0e22,19,Male,37,59,young,-1
544be311-fb2f-4ef5-84c4-e50c014d2268,28,Male,123,98,young,-1
a9b17e09-c450-4e4c-b4bd-c18d74c41ba0,28,Female,21,20,young,-1
abd31464-949a-4ad2-9199-c855406b5d53,20,Male,44,86,young,-1
44a4cb85-4a69-4324-9f95-2acc07ce1f29,24,Female,64,5,young,-1
31dee36d-62fa-4522-8273-59ebdbc23a99,20,Female,124,27,young,-1
5f8ff7c6-e105-4b76-bb40-13f1cd72844b,27,Female,165,32,young,-1
604e0abd-2e16-4cc9-b724-8f0b722f884b,29,Female,199,49,young,-1
02a306d0-73b5-4c2b-b5b9-2aaec5473dae,21,Female,21,37,young,-1
944297db-60bd-4724-9a30-eb9dd9331e47,29,Female,28,61,young,-1
add1dcb4-5ad0-46ad-be92-b7dc832eed7a,23,Male,24,89,young,-1
861e3cf8-50d7-49e2-9887-3d29a2bbf5fc,29,Male,120,1,young,-1
a523c141-7d32-438d-ac4e-1d79b00c2853,27,Male,160,44,young,-1
b094f832-0dcb-4af0-99ec-175862b106eb,28,Female,71,33,young,-1
293ac435-4a45-4f79-ad83-9c34aee55a24,20,Female,196,64,young,-1
d9123174-b3af-4fdf-9429-1e13c54605b6,25,Male,81,2,young,-1
2e9a4009-678d-4383-ace7-cc1cbfc3f771,26,Male,178,27,young,-1
6585097b-b707-4701-8784-e3e73706f652,22,Male,20,34,young,-1
12d5de9d-e2dd-49d5-9901-5fc95ac4227a,27,Male,137,51,young,-1
34450f3b-58e8-4ffe-9da8-ed1b80a12744,28,Female,68,4,young,-1
d397ee21-71ad-42e1-ba83-c6d860eb6bda,29,Female,67,3,young,-1
bffd4fc9-6d28-49a3-963c-41f711babfa3,25,Female,122,95,young,-1
d36f4ee6-6674-4766-b327-3e82511a8cbf,25,Female,194,56,young,-1
16bd9a3a-93c4-4b8b-8c53-5998f8ac7a33,29,Female,29,47,young,-1
1ec94818-3059-4c33-82be-6ad890ce69c5,24,Female,108,20,young,-1
5571460e-1501-4dca-9144-9ea16829d8ff,25,Female,67,28,young,-1
