Customer ID,Age,Gender,Annual Income,Spending Score,Potensial,Cluster_OPTICS
e57bf327-a2dd-4ca0-89bb-fe5c5dfba533,57,Female,87,99,No,106
0ce7c5ae-fab0-4bb5-acb0-cb503675b2f6,22,Male,87,100,No,106
9898cf66-a23c-4446-a68c-f0ab47f5ce6a,69,Female,85,99,No,106
c5b66f83-80a2-46d9-a565-3e4ab9cc0261,81,Female,85,100,No,106
af0a610e-7b7a-4183-a8e4-edf46cbeaba5,90,Male,89,100,No,106
4ce867bc-260e-43d8-a604-50c5262eadef,87,Female,87,99,No,106
6585411b-a4bc-443e-a1c2-5c105894b403,52,Female,86,99,No,106
b204c21e-7fa8-4c79-9c5f-a5356e0f322d,88,Female,87,100,No,106
f13d8405-81cd-4d05-9758-6913167988aa,21,Male,87,100,No,106
e554a8ce-a4a3-4848-8acd-cfd4add84d09,80,Male,85,100,No,106
f4df1f41-0405-4e3c-9e1d-8e7c5827f122,22,Male,87,99,No,106
163c4992-745f-42b2-8c97-7af89e4c1176,66,Female,85,100,No,106
